ID_Veiculo,Marca,Modelo,Ano,Regiao,Tipo_Veiculo,Capacidade_Bateria_kWh,Saude_Bateria_%,Autonomia_km,Potencia_Carga_kW,Tempo_Carga_hr,Ciclos_Carga,Consumo_Energia_kWh_por_100km,Quilometragem_km,Velocidade_Media_kmh,Velocidade_Max_kmh,Aceleracao_0_100_kmh_seg,Temperatura_C,Tipo_Uso,CO2_Economizado_ton,Custo_Manutencao_USD,Custo_Seguro_USD,Custo_Eletricidade_USD_por_kWh,Custo_Mensal_Carga_USD,Valor_Revenda_USD
311,BMW,i3,2022,Europa,Sedã,52.0,87.7,295.0,250.0,0.3,417,21.0,39196.0,91.3,245.9,4.8,12.4,Pessoal,7.79,695.4,1169.1,0.12,12.14,17082.34
312,Nissan,Ariya,2020,América do Norte,Crossover,65.9,73.3,415.0,100.0,0.6,574,20.8,50698.0,73.6,201.2,10.9,21.4,Frota,8.91,1046.87,1037.4,0.18,24.18,11274.22
313,Kia,Niro EV,2021,América do Norte,Sedã,72.5,93.9,349.0,7.4,10.0,798,17.2,854.0,41.7,83.3,10.7,30.4,Pessoal,0.12,909.4,940.57,0.12,16.05,23483.68
314,Toyota,Prius Prime,2019,Europa,SUV,56.8,83.8,273.0,150.0,0.4,717,14.2,54208.0,79.0,229.6,4.3,25.1,Pessoal,11.1,836.77,1610.08,0.12,11.78,9714.69
315,Chevrolet,Bolt EUV,2021,América do Sul,SUV,57.7,98.4,313.0,150.0,0.5,381,17.1,18785.0,61.7,126.9,10.0,22.3,Frota,3.47,767.57,499.57,0.15,17.71,18292.51
316,Toyota,Prius Prime,2021,Europa,SUV,54.9,86.0,304.0,250.0,0.3,243,18.2,51394.0,67.5,160.5,2.4,24.5,Comercial,8.69,647.19,1434.07,0.18,22.02,14772.85
317,BMW,iX,2022,Ásia,Caminhonete,86.0,98.5,458.0,22.0,4.2,293,14.7,19074.0,40.2,89.8,14.2,18.4,Pessoal,4.29,750.25,1260.39,0.15,17.63,33587.7
318,Volkswagen,ID.4,2023,Ásia,Sedã,24.0,90.4,162.0,100.0,0.3,78,17.1,15758.0,72.5,165.6,11.5,26.1,Pessoal,3.34,685.32,1313.32,0.35,27.3,10074.26
319,Volkswagen,ID.4,2022,América do Sul,SUV,58.8,94.8,314.0,100.0,0.7,136,21.6,41104.0,45.5,128.6,8.3,7.3,Pessoal,7.55,925.64,708.89,0.28,40.71,19074.47
320,Nissan,Ariya,2022,Ásia,SUV,95.9,83.1,501.0,50.0,2.2,132,18.4,69349.0,73.0,185.2,9.1,32.6,Comercial,8.92,459.66,977.96,0.35,107.43,26758.41
321,Chevrolet,Bolt EV,2021,Europa,Sedã,75.3,89.8,419.0,7.4,10.1,355,16.4,94498.0,54.2,146.6,8.1,16.4,Pessoal,20.16,821.62,1356.7,0.15,25.41,18710.41
322,Ford,F-150 Lightning,2022,Ásia,Crossover,90.3,73.2,540.0,22.0,5.1,199,18.1,33721.0,75.8,203.9,5.4,19.8,Frota,5.58,1254.87,983.72,0.28,54.03,25146.03
323,Nissan,Ariya,2018,América do Sul,Sedã,24.3,86.0,125.0,11.0,2.3,1861,18.3,87370.0,45.6,87.8,10.0,14.9,Pessoal,15.31,668.03,585.38,0.12,3.7,3194.75
324,Toyota,bZ4X,2020,Europa,Crossover,40.2,75.1,218.0,22.0,1.9,589,16.9,40164.0,41.6,97.0,10.4,24.1,Pessoal,6.86,931.5,1092.31,0.35,24.32,7658.61
325,Nissan,Ariya,2021,Europa,Sedã,75.3,77.9,452.0,150.0,0.6,438,20.3,3923.0,56.9,155.0,5.2,28.5,Pessoal,0.55,200.0,1123.6,0.15,33.97,21099.96
326,Toyota,Prius Prime,2021,América do Norte,SUV,96.0,79.9,579.0,22.0,5.0,289,12.5,500.0,69.0,186.1,6.9,8.1,Pessoal,0.1,325.78,1491.7,0.35,33.23,26743.92
327,Tesla,Model Y,2018,Ásia,Crossover,42.2,92.3,237.0,50.0,0.9,2026,19.4,47865.0,47.8,94.3,3.9,17.3,Pessoal,7.41,760.1,1654.34,0.18,17.41,6907.03
328,Volkswagen,ID.3,2019,Ásia,Sedã,57.2,85.8,384.0,22.0,3.1,358,16.3,143227.0,68.1,191.3,6.9,19.7,Comercial,27.5,777.41,1255.23,0.15,20.97,8324.39
329,Tesla,Model X,2020,América do Norte,Hatchback,73.0,87.3,474.0,50.0,1.4,407,21.1,113437.0,78.1,209.7,6.3,22.4,Frota,17.23,812.4,1374.74,0.28,59.65,12769.09
330,Kia,Niro EV,2023,Europa,Crossover,36.0,85.6,173.0,150.0,0.3,199,14.2,15597.0,45.1,99.7,10.1,15.1,Frota,2.59,1457.24,1622.26,0.22,11.93,12881.53
331,Chevrolet,Bolt EUV,2021,Europa,SUV,75.4,95.6,351.0,50.0,1.6,440,20.8,56630.0,68.1,178.6,11.0,13.7,Comercial,10.81,625.12,1124.83,0.35,57.94,21684.09
332,Ford,F-150 Lightning,2021,América do Norte,SUV,24.0,87.0,142.0,250.0,0.3,145,15.6,29882.0,73.1,177.7,4.3,26.9,Frota,5.49,825.32,1416.62,0.35,16.34,6430.77
333,Toyota,bZ4X,2020,Oceania,Hatchback,74.8,89.0,462.0,250.0,0.4,540,19.0,58995.0,62.1,164.4,8.9,23.1,Pessoal,11.72,585.09,632.15,0.18,51.11,16165.52
334,Ford,F-150 Lightning,2022,América do Norte,SUV,45.1,82.4,243.0,100.0,0.5,357,16.6,17064.0,63.8,125.0,9.2,20.2,Comercial,3.43,1021.07,974.98,0.28,24.75,15567.53
335,Toyota,bZ4X,2020,América do Norte,SUV,56.0,96.2,294.0,11.0,6.1,669,21.4,34068.0,43.9,105.1,2.6,30.5,Pessoal,7.49,454.89,1885.67,0.35,26.11,13554.86
336,BMW,i4,2020,Europa,SUV,78.0,96.8,397.0,150.0,0.6,709,17.4,80418.0,71.6,204.4,9.4,4.6,Pessoal,14.47,590.3,1609.74,0.22,25.56,17764.8
337,Nissan,Ariya,2021,Ásia,SUV,73.9,86.7,363.0,50.0,1.5,837,15.8,29868.0,65.9,175.4,3.3,26.0,Pessoal,6.46,529.56,1534.31,0.35,56.23,20671.61
338,Kia,Niro EV,2018,América do Norte,Caminhonete,64.8,82.3,393.0,7.4,9.3,908,22.2,114608.0,67.3,184.2,5.7,21.7,Pessoal,19.52,1047.11,845.52,0.18,42.8,6912.5
339,Volkswagen,ID.4,2018,Ásia,SUV,84.4,74.1,448.0,150.0,0.7,1118,17.2,82640.0,96.0,233.3,4.7,3.5,Pessoal,16.8,837.8,590.63,0.22,37.93,9320.05
340,Toyota,Prius Prime,2020,Europa,Sedã,31.0,80.1,175.0,7.4,5.0,10,19.6,107262.0,61.9,165.2,3.1,29.7,Frota,22.92,885.05,816.61,0.12,7.39,4953.28
341,Ford,Mustang Mach-E,2018,América do Norte,Hatchback,69.1,69.7,317.0,11.0,7.1,1546,20.8,117617.0,69.8,171.1,9.8,23.9,Pessoal,25.12,741.82,1241.31,0.12,22.6,6447.29
342,Kia,EV6,2019,América do Norte,Sedã,49.2,79.7,295.0,50.0,0.9,688,15.4,85180.0,84.3,187.4,4.6,25.2,Pessoal,11.6,1162.78,1412.46,0.35,27.13,7186.77
343,Audi,Q4 e-tron,2021,Europa,SUV,83.4,89.9,483.0,150.0,0.6,226,19.3,9242.0,64.3,155.9,6.0,15.0,Pessoal,0.79,753.52,1833.62,0.15,37.57,24782.0
344,Audi,Q4 e-tron,2023,América do Norte,Caminhonete,78.7,86.6,380.0,150.0,0.6,120,19.7,10912.0,54.3,159.4,7.0,25.6,Pessoal,2.15,1389.6,718.02,0.15,25.66,29916.4
345,Tesla,Model 3,2022,América do Sul,SUV,79.5,100.0,448.0,11.0,7.2,355,13.4,29162.0,71.0,201.6,8.9,10.7,Pessoal,5.25,1180.83,973.3,0.15,24.76,31645.01
346,Volkswagen,ID.4,2021,Ásia,Caminhonete,97.9,84.0,539.0,100.0,1.1,606,19.0,46364.0,54.7,120.5,4.6,4.5,Pessoal,8.74,357.25,1853.08,0.15,34.51,24738.2
347,BMW,i3,2020,Oceania,Crossover,87.5,83.4,462.0,7.4,14.3,507,16.9,82108.0,83.0,197.1,8.2,17.9,Pessoal,15.01,991.56,564.2,0.35,88.27,19442.55
348,Ford,Mustang Mach-E,2023,América do Norte,Sedã,61.9,95.5,251.0,150.0,0.5,173,22.9,16717.0,72.7,161.6,6.4,24.8,Pessoal,2.84,1180.35,1287.76,0.22,19.95,25985.0
349,Nissan,Ariya,2021,Oceania,Sedã,65.0,71.6,336.0,22.0,3.5,347,20.6,19169.0,52.1,133.1,4.5,28.1,Comercial,3.78,677.68,430.36,0.18,34.73,14584.9
350,Nissan,Ariya,2019,Europa,Sedã,77.0,75.1,435.0,7.4,11.9,830,19.3,99671.0,46.3,129.6,9.6,19.5,Comercial,18.95,923.44,1060.97,0.18,35.16,10907.33
351,Ford,F-150 Lightning,2022,Europa,Sedã,67.7,92.3,354.0,50.0,1.6,294,12.0,22312.0,67.3,209.3,12.2,18.7,Pessoal,3.95,356.63,1986.47,0.15,13.69,25101.11
352,Chevrolet,Bolt EUV,2019,América do Norte,Crossover,79.1,85.4,426.0,11.0,7.7,766,19.3,48020.0,68.8,142.5,7.5,28.1,Pessoal,8.69,501.2,1419.7,0.12,30.86,13526.08
353,BMW,iX,2021,América do Norte,Crossover,24.0,85.6,150.0,7.4,3.8,337,15.7,17432.0,46.3,127.7,5.5,14.7,Pessoal,3.46,724.51,1729.91,0.28,13.13,7439.61
354,Kia,EV6,2021,Ásia,Sedã,102.6,79.5,560.0,22.0,5.6,480,20.6,36217.0,76.8,191.8,5.2,12.4,Comercial,5.87,393.66,1418.32,0.15,45.29,26563.79
355,Toyota,Prius Prime,2023,Europa,Hatchback,66.2,88.9,295.0,250.0,0.3,78,17.5,10357.0,75.0,179.2,9.0,34.2,Pessoal,1.52,816.56,1411.54,0.15,19.83,24451.23
356,Chevrolet,Bolt EUV,2021,América do Norte,Crossover,32.6,80.5,176.0,22.0,1.6,438,16.4,74019.0,70.1,155.6,7.0,15.2,Pessoal,10.82,995.11,547.22,0.35,19.04,7446.8
357,Toyota,Prius Prime,2022,Ásia,Crossover,46.7,87.6,259.0,11.0,5.1,182,16.7,25541.0,76.4,231.8,4.3,27.2,Comercial,4.21,525.23,2026.06,0.12,15.12,15053.02
358,Toyota,Prius Prime,2023,América do Norte,Sedã,24.0,77.7,122.0,11.0,2.5,67,16.9,19435.0,50.2,101.0,2.8,31.6,Pessoal,4.36,397.84,1852.17,0.28,20.27,8512.36
359,Chevrolet,Bolt EUV,2019,Europa,Sedã,43.2,85.5,253.0,250.0,0.3,431,14.0,500.0,51.0,120.0,8.0,20.1,Pessoal,0.09,326.34,901.49,0.22,25.79,8125.22
360,Tesla,Model X,2020,Europa,SUV,62.2,100.0,297.0,7.4,8.9,477,14.4,84814.0,61.1,159.5,3.8,20.6,Pessoal,13.54,1163.72,1812.58,0.22,25.39,16019.92
361,Audi,e-tron,2021,Ásia,Crossover,95.3,83.6,518.0,50.0,2.0,294,17.0,61035.0,55.5,146.3,6.0,36.0,Frota,11.36,277.38,1625.68,0.28,58.83,25286.76
362,Toyota,bZ4X,2021,Ásia,SUV,73.2,85.9,349.0,100.0,0.7,479,22.7,8607.0,72.5,208.4,11.1,4.9,Frota,1.28,888.74,1461.53,0.28,64.51,22893.14
363,Chevrolet,Bolt EUV,2021,Europa,Hatchback,69.7,85.4,373.0,22.0,3.8,415,20.1,23204.0,77.1,172.4,4.9,4.8,Comercial,4.05,1191.77,1285.06,0.22,49.22,19469.49
364,Chevrolet,Bolt EV,2023,Europa,SUV,42.3,88.4,248.0,11.0,5.4,200,20.4,9475.0,54.4,146.2,9.6,26.2,Pessoal,1.59,506.61,1159.75,0.15,19.32,17527.35
365,Hyundai,Ioniq 5,2022,Europa,SUV,48.5,90.7,263.0,100.0,0.6,255,21.6,26622.0,52.0,129.0,4.4,13.9,Pessoal,3.74,546.81,1896.06,0.15,11.12,16293.84
366,Tesla,Model S,2022,Ásia,Sedã,50.1,89.1,270.0,100.0,0.6,290,18.8,18252.0,77.8,195.4,9.2,26.6,Frota,3.88,852.7,1253.97,0.35,30.59,17901.82
367,Volkswagen,ID.3,2020,Europa,Crossover,50.9,89.2,281.0,100.0,0.5,1030,16.6,51835.0,50.3,118.8,8.4,17.4,Frota,8.74,872.2,1388.9,0.12,15.28,11771.72
368,Hyundai,Kona Electric,2023,América do Norte,SUV,58.0,85.6,321.0,50.0,1.2,104,16.8,20446.0,60.7,154.7,8.2,26.3,Pessoal,3.66,650.47,1862.8,0.28,40.2,23357.67
369,Hyundai,Ioniq 5,2023,América do Norte,Hatchback,59.5,87.8,348.0,11.0,6.0,114,15.5,10349.0,49.9,122.6,5.5,9.2,Comercial,2.08,710.89,1665.11,0.15,18.36,23330.75
370,Ford,Mustang Mach-E,2023,Europa,SUV,58.2,85.3,340.0,22.0,3.2,213,20.4,17477.0,56.1,134.3,8.6,24.1,Pessoal,3.33,827.26,705.98,0.15,27.44,20648.7
371,Audi,Q4 e-tron,2018,Europa,SUV,51.6,72.5,320.0,11.0,4.8,417,15.2,98777.0,42.4,99.3,7.9,13.0,Pessoal,18.01,678.78,966.24,0.12,10.32,5812.26
372,Chevrolet,Bolt EUV,2022,Ásia,Sedã,67.7,100.0,378.0,7.4,12.4,442,24.3,500.0,84.2,219.9,11.7,25.2,Comercial,0.09,688.88,871.07,0.28,61.99,27061.61
373,Audi,e-tron,2018,América do Norte,Sedã,58.7,92.8,274.0,22.0,2.6,705,15.3,49609.0,80.2,168.5,5.5,41.6,Pessoal,10.01,1382.72,1378.02,0.12,11.73,8595.4
374,BMW,i3,2020,Europa,SUV,33.1,79.2,196.0,11.0,3.4,311,21.7,92855.0,52.9,129.2,10.2,10.0,Frota,16.69,1104.03,1007.14,0.12,7.75,5968.34
375,Ford,F-150 Lightning,2018,Ásia,Sedã,65.7,88.8,406.0,22.0,3.3,1162,21.7,45263.0,71.9,163.2,4.7,14.5,Pessoal,8.34,1127.59,1047.18,0.22,49.3,9125.79
376,Volkswagen,ID.3,2022,Ásia,SUV,62.7,76.2,422.0,7.4,9.3,233,19.9,12153.0,43.5,107.1,6.4,16.7,Pessoal,2.59,697.68,1106.22,0.12,17.51,17137.85
377,Audi,e-tron,2022,Europa,Sedã,33.4,83.0,208.0,150.0,0.3,509,22.9,47265.0,74.3,183.3,5.4,21.2,Frota,10.17,284.37,1348.38,0.28,39.18,9730.32
378,Nissan,Ariya,2019,Europa,Crossover,53.2,75.1,280.0,22.0,2.7,693,17.4,81394.0,51.7,142.7,5.8,-4.9,Frota,15.31,1542.83,1095.56,0.15,19.49,7907.3
379,Toyota,bZ4X,2021,Europa,Crossover,76.9,86.6,430.0,150.0,0.5,414,18.4,81432.0,83.3,224.7,6.6,18.3,Pessoal,14.91,614.97,1587.34,0.15,25.7,18702.89
380,BMW,i4,2021,América do Sul,Sedã,42.3,74.3,227.0,100.0,0.5,282,18.7,33380.0,72.7,188.1,10.6,15.8,Pessoal,6.67,892.78,763.77,0.22,18.59,8134.71
381,Tesla,Model 3,2021,América do Norte,Hatchback,40.2,90.1,213.0,250.0,0.3,370,19.8,75053.0,59.5,151.8,8.1,15.9,Comercial,12.94,1035.11,607.98,0.28,21.3,9718.79
382,Volkswagen,ID.4,2019,América do Sul,Crossover,58.5,92.5,318.0,50.0,1.2,575,12.5,37965.0,58.9,143.9,10.1,20.9,Pessoal,6.55,625.86,939.03,0.15,13.49,12250.86
383,BMW,iX,2021,Ásia,SUV,77.5,80.4,476.0,7.4,9.8,666,17.7,500.0,67.2,163.8,7.0,21.5,Frota,0.09,1070.44,793.29,0.12,29.18,21166.89
384,Toyota,bZ4X,2022,Europa,Caminhonete,101.2,88.3,476.0,22.0,5.2,305,20.6,41221.0,51.1,101.0,10.2,21.4,Frota,6.16,802.7,1222.29,0.18,41.14,29699.54
385,Ford,Mustang Mach-E,2018,América do Norte,Crossover,78.2,80.0,391.0,7.4,11.9,1082,16.9,118662.0,81.9,222.8,7.6,7.2,Pessoal,29.77,720.94,1040.1,0.18,28.71,8435.66
386,Toyota,bZ4X,2019,Europa,SUV,86.7,91.1,530.0,100.0,1.0,699,23.9,103037.0,69.6,179.6,5.0,15.5,Pessoal,17.31,625.73,680.51,0.18,44.4,14764.91
387,Hyundai,Ioniq 5,2021,Europa,SUV,71.9,81.5,448.0,150.0,0.6,317,18.4,39837.0,79.5,227.4,9.6,15.1,Pessoal,7.73,501.02,672.96,0.18,33.35,19324.99
388,Toyota,bZ4X,2023,América do Norte,Crossover,51.3,93.3,265.0,50.0,1.3,158,19.5,27225.0,30.0,70.0,10.7,23.3,Frota,4.89,241.15,1273.16,0.12,14.8,19666.63
389,Hyundai,Kona Electric,2022,Ásia,Sedã,78.0,72.5,493.0,7.4,12.5,478,22.7,44425.0,65.2,187.7,8.6,8.3,Pessoal,8.91,1644.13,1560.32,0.15,43.01,21051.2
390,Ford,F-150 Lightning,2022,Oceania,SUV,63.3,79.0,379.0,150.0,0.5,126,18.4,43749.0,68.7,167.8,9.1,19.9,Pessoal,7.37,1237.2,917.71,0.22,37.01,18050.02
391,Kia,Niro EV,2021,Europa,SUV,72.5,78.1,389.0,100.0,0.9,483,22.6,48041.0,64.9,151.1,10.2,34.1,Pessoal,8.96,830.88,1165.06,0.12,28.74,17179.85
392,Hyundai,Kona Electric,2022,Ásia,Sedã,46.1,88.6,197.0,100.0,0.5,466,19.7,7550.0,65.3,193.5,6.3,-8.6,Pessoal,1.17,1268.01,943.15,0.15,16.46,16625.61
393,Tesla,Model 3,2018,América do Norte,Hatchback,74.3,91.4,347.0,100.0,0.7,474,19.8,93382.0,60.2,157.1,5.2,16.3,Pessoal,20.21,1228.76,1139.32,0.28,62.8,9471.2
394,Toyota,bZ4X,2022,Europa,Hatchback,62.6,89.2,324.0,250.0,0.3,389,15.3,35991.0,98.9,296.8,7.9,-1.8,Pessoal,7.19,978.96,1904.89,0.15,19.41,21492.64
395,Toyota,bZ4X,2023,América do Norte,Crossover,69.6,82.9,409.0,150.0,0.5,194,21.3,31940.0,68.6,175.0,11.3,18.0,Frota,4.39,696.5,2199.82,0.15,35.42,22918.55
396,Tesla,Model X,2022,Ásia,SUV,63.3,64.6,372.0,22.0,2.9,94,16.2,34434.0,66.8,183.2,7.8,26.4,Frota,6.21,1122.24,1021.47,0.15,20.24,14643.48
397,Nissan,Leaf,2023,América do Sul,Sedã,59.5,87.3,313.0,11.0,5.3,207,17.4,6283.0,79.0,221.9,8.6,12.9,Comercial,0.87,1072.58,995.46,0.12,21.37,22637.24
398,Chevrolet,Bolt EUV,2022,Ásia,Sedã,74.7,93.3,402.0,7.4,10.2,187,21.8,37788.0,56.6,136.7,7.2,27.3,Pessoal,5.9,1037.35,1372.85,0.15,29.77,25372.02
399,Kia,EV6,2019,América do Norte,Sedã,56.9,100.0,312.0,250.0,0.3,786,16.9,127397.0,45.7,119.0,7.7,31.6,Pessoal,26.45,698.83,1248.21,0.15,22.15,8660.17
400,Volkswagen,ID.3,2023,Europa,SUV,33.2,83.6,179.0,11.0,3.5,201,19.0,29238.0,78.6,200.1,5.7,22.0,Comercial,3.08,913.68,1472.49,0.28,21.46,11821.54
401,Hyundai,Kona Electric,2018,Europa,Crossover,27.5,81.7,153.0,100.0,0.3,1280,17.8,84655.0,60.0,165.0,8.4,12.9,Pessoal,17.89,882.02,1150.05,0.28,18.51,3052.53
402,Tesla,Model Y,2022,Europa,Crossover,68.7,89.6,377.0,11.0,7.4,61,17.9,26674.0,85.4,186.2,9.2,23.4,Frota,5.1,685.78,1127.17,0.18,30.49,23268.87
403,Ford,F-150 Lightning,2019,Ásia,Sedã,56.1,85.0,262.0,150.0,0.5,1262,17.6,16194.0,84.5,226.5,3.2,34.8,Comercial,2.88,910.99,1376.63,0.35,24.58,10944.99
404,Hyundai,Ioniq 5,2018,Ásia,Hatchback,30.4,97.2,164.0,100.0,0.4,1367,14.9,59833.0,30.2,83.8,3.2,4.7,Pessoal,12.35,1175.83,1296.87,0.12,7.62,4910.95
405,Chevrolet,Bolt EUV,2021,Ásia,SUV,67.1,80.5,368.0,250.0,0.3,610,19.6,55820.0,66.1,151.7,2.6,29.1,Frota,14.57,1257.67,1007.19,0.15,26.61,15315.25
406,Ford,F-150 Lightning,2020,Europa,Sedã,63.1,85.0,378.0,100.0,0.7,629,19.9,9205.0,81.1,181.3,10.7,5.1,Frota,1.29,949.83,1249.56,0.18,29.29,15336.36
407,BMW,iX,2021,América do Norte,Hatchback,55.0,94.0,280.0,50.0,1.2,312,16.3,96189.0,38.7,77.5,4.7,2.8,Pessoal,22.2,750.19,1250.62,0.18,16.41,14245.83
408,Toyota,bZ4X,2022,América do Norte,Sedã,69.9,89.5,392.0,50.0,1.5,122,16.7,24056.0,70.5,220.2,7.9,5.7,Pessoal,5.03,1056.41,400.0,0.12,17.12,22912.61
409,BMW,i3,2018,Europa,Crossover,91.3,96.3,528.0,250.0,0.4,150,20.7,96018.0,74.9,170.8,11.5,17.6,Pessoal,15.25,538.38,1177.16,0.35,75.31,12099.6
410,Hyundai,Ioniq 5,2019,Europa,Hatchback,90.7,83.5,492.0,150.0,0.6,881,17.2,89256.0,64.2,187.8,7.8,30.6,Pessoal,17.47,686.87,1561.24,0.18,34.27,14617.15
411,Chevrolet,Bolt EUV,2022,Ásia,Sedã,67.9,97.1,314.0,150.0,0.5,406,18.3,48819.0,64.3,156.7,8.3,-2.1,Pessoal,7.16,1182.55,1024.57,0.18,22.4,25134.3
412,Kia,Niro EV,2021,Ásia,Caminhonete,63.3,73.7,380.0,11.0,5.9,383,15.4,51668.0,83.0,234.8,4.9,27.9,Pessoal,8.54,1361.53,902.39,0.12,16.33,14134.18
413,Hyundai,Ioniq 5,2022,América do Norte,SUV,68.2,74.0,401.0,250.0,0.3,205,17.8,12198.0,42.6,113.9,7.8,16.5,Frota,1.43,1141.97,903.93,0.22,45.24,20720.03
414,Tesla,Model Y,2022,Europa,Sedã,71.2,97.2,400.0,7.4,11.3,275,15.4,37030.0,77.5,242.6,4.5,7.0,Pessoal,5.17,775.52,1331.44,0.18,22.68,26830.06
415,Audi,e-tron,2023,América do Norte,Sedã,59.6,87.1,329.0,250.0,0.3,90,16.2,24392.0,71.9,210.9,2.2,23.9,Pessoal,4.67,200.0,805.31,0.28,32.95,19843.86
416,Hyundai,Ioniq 5,2022,América do Norte,Sedã,68.5,94.4,316.0,11.0,6.4,269,15.7,15088.0,84.5,216.7,7.1,13.3,Comercial,2.93,1035.19,1295.22,0.18,22.85,23767.31
417,Toyota,Prius Prime,2021,Ásia,Caminhonete,33.5,87.8,197.0,150.0,0.3,260,20.6,65001.0,50.8,131.7,7.8,40.6,Pessoal,12.6,957.1,1263.58,0.12,9.79,8511.4
418,Toyota,Prius Prime,2022,América do Norte,Sedã,66.6,86.9,416.0,7.4,10.0,348,14.0,34237.0,87.2,235.8,5.7,23.0,Frota,6.82,965.74,666.45,0.12,20.13,22762.45
419,Hyundai,Kona Electric,2020,Europa,Caminhonete,74.5,76.4,368.0,250.0,0.3,865,18.8,63172.0,44.2,146.1,5.1,18.6,Pessoal,11.6,369.78,1578.21,0.35,48.85,14307.03
420,Ford,F-150 Lightning,2020,América do Norte,Hatchback,55.2,86.8,341.0,11.0,5.8,668,17.3,38667.0,60.0,151.2,6.5,24.5,Pessoal,7.75,700.82,1700.66,0.22,33.32,13553.61
421,Audi,e-tron,2023,América do Sul,Sedã,63.1,97.9,383.0,22.0,3.1,127,22.2,13148.0,47.6,100.5,5.2,31.4,Pessoal,2.79,1359.59,1300.56,0.22,56.7,26883.1
422,Tesla,Model X,2021,Europa,Caminhonete,42.8,87.5,211.0,22.0,2.0,597,20.3,55964.0,75.9,195.3,8.9,32.4,Comercial,10.49,492.84,1215.45,0.35,30.11,12124.31
423,Hyundai,Ioniq 5,2023,América do Norte,SUV,40.0,92.5,212.0,7.4,6.5,134,14.3,11465.0,53.6,123.7,8.1,27.3,Pessoal,1.91,973.51,999.66,0.35,22.28,16636.15
424,Ford,Mustang Mach-E,2023,Europa,SUV,69.2,92.2,332.0,50.0,1.3,197,16.3,6839.0,82.0,210.2,11.1,31.8,Comercial,1.2,603.14,1015.06,0.28,34.47,28182.82
425,Toyota,bZ4X,2023,Ásia,Sedã,50.4,78.9,276.0,7.4,7.9,90,18.0,6499.0,39.7,113.0,6.1,30.0,Pessoal,1.01,952.24,1026.79,0.28,34.91,18699.32
426,Toyota,Prius Prime,2023,Oceania,SUV,29.5,93.9,169.0,11.0,2.8,99,16.3,17341.0,58.3,154.6,7.2,27.1,Pessoal,3.56,740.31,1497.33,0.18,12.07,11729.31
427,Chevrolet,Bolt EV,2021,América do Norte,SUV,42.8,84.5,207.0,100.0,0.5,202,20.7,57232.0,91.8,213.2,7.4,14.1,Pessoal,7.55,1161.95,1429.11,0.22,23.49,12059.65
428,Hyundai,Ioniq 5,2020,América do Sul,Hatchback,45.7,84.9,260.0,22.0,2.5,409,18.5,57744.0,53.6,130.7,6.1,30.6,Frota,10.12,812.38,411.59,0.28,37.08,9161.43
429,Audi,e-tron,2022,América do Sul,Sedã,80.5,100.0,468.0,100.0,0.7,397,17.4,60252.0,80.9,176.4,2.0,13.7,Frota,11.87,1098.41,607.35,0.18,35.27,27433.04
430,Nissan,Ariya,2021,América do Sul,Sedã,68.6,91.8,400.0,22.0,3.4,225,20.9,2483.0,75.4,217.4,8.1,20.6,Pessoal,0.37,1433.38,868.66,0.15,22.16,21538.42
431,Audi,Q4 e-tron,2022,Ásia,Crossover,47.6,81.9,273.0,11.0,4.8,10,14.5,36328.0,45.4,124.7,12.8,14.2,Pessoal,5.02,1095.83,1014.02,0.18,22.35,13785.18
432,Toyota,Prius Prime,2022,Ásia,Hatchback,53.2,87.5,260.0,22.0,2.1,211,17.2,500.0,68.2,148.2,9.5,24.7,Pessoal,0.06,972.97,1372.45,0.28,34.0,18778.48
433,Toyota,Prius Prime,2022,Europa,Crossover,91.2,87.3,496.0,7.4,13.8,110,18.7,28270.0,87.9,286.2,11.9,30.8,Pessoal,4.85,1147.19,984.29,0.18,31.11,29566.59
434,BMW,i4,2021,Ásia,SUV,83.7,100.0,475.0,100.0,0.9,299,17.6,51251.0,58.9,143.4,9.2,13.9,Pessoal,7.47,968.79,1367.58,0.15,30.19,26115.0
435,Toyota,bZ4X,2019,Europa,Hatchback,42.6,87.3,265.0,150.0,0.3,1368,12.0,67645.0,54.7,141.6,6.6,3.9,Frota,13.96,617.6,1838.56,0.28,25.76,7190.53
436,Tesla,Model S,2021,Ásia,Crossover,88.3,100.0,486.0,100.0,0.9,222,19.0,500.0,69.9,167.7,8.5,28.1,Frota,0.07,546.24,967.0,0.18,34.0,28635.65
437,Volkswagen,ID.3,2019,Europa,Hatchback,63.4,76.6,362.0,11.0,5.9,877,19.5,71037.0,61.8,162.3,9.7,28.4,Pessoal,13.91,1007.04,833.98,0.28,58.55,9735.59
438,Hyundai,Ioniq 5,2023,Ásia,Hatchback,81.0,86.7,408.0,150.0,0.6,127,15.0,15024.0,42.6,107.7,3.0,33.6,Pessoal,2.12,612.41,749.19,0.35,43.18,31769.99
439,Audi,e-tron,2021,Ásia,Sedã,61.7,80.9,304.0,100.0,0.7,474,12.0,67437.0,61.7,128.4,8.1,26.9,Frota,9.08,583.3,786.13,0.35,34.66,16129.85
440,Volkswagen,ID.3,2019,América do Norte,SUV,88.7,83.0,431.0,250.0,0.4,496,16.0,15541.0,57.7,164.6,6.8,27.2,Comercial,2.24,742.82,1421.74,0.18,15.13,15166.82
